repository_x,changes,number of files,Project Nature
BBN-Q/QGL,10.0,1.0,Quantum project 
Blueqat/Blueqat,20.0,1.0,Quantum project 
CQCL/pytket,17.0,1.0,Quantum project 
CQCL/pytket-extensions,15.0,2.0,Quantum project 
CQCL/tket,30.0,2.0,Quantum project 
CompPhysics/ComputationalPhysics2,4.0,1.0,Quantum project 
DavitKhach/quantum-algorithms-tutorials,6.5,1.0,Quantum project 
GTorlai/PastaQ.jl,21.0,2.0,Quantum project 
Hongbo-Miao/hongbomiao.com,16.0,2.0,Quantum project 
Interlin-q/Interlin-q,116.0,3.0,Quantum project 
JQub/qfnn,67.0,8.0,Quantum project 
Krastanov/Quantikz,4.0,1.0,Quantum project 
Krastanov/QuantumClifford.jl,5.0,1.0,Quantum project 
NicklasBoto/funQ,40.0,3.0,Quantum project 
OpenJij/OpenJij,34.0,2.0,Quantum project 
OriginQ/QPanda-2,40.0,3.0,Quantum project 
OxfordIonTrapGroup/ndscan,8.0,1.0,Quantum project 
PIQuIL/QuCumber,15.0,2.0,Quantum project 
PennyLaneAI/pennylane,115.5,4.0,Quantum project 
PennyLaneAI/pennylane-cirq,52.0,2.0,Quantum project 
PennyLaneAI/qml,54.5,3.0,Quantum project 
ProjectQ-Framework/ProjectQ,74.0,3.0,Quantum project 
QE-Lab/OpenQL,20.0,2.0,Quantum project 
QLemma/qleet,34.5,2.5,Quantum project 
QML-HEP/ae_qml,14.0,2.0,Quantum project 
QTechTheory/QuESTlink,10.0,1.0,Quantum project 
Qiskit/openqasm,13.0,1.0,Quantum project 
Qiskit/qiskit,23.0,1.0,Quantum project 
Qiskit/qiskit-aer,32.0,2.0,Quantum project 
Qiskit/qiskit-aqua,18.0,2.0,Quantum project 
Qiskit/qiskit-machine-learning,49.0,3.0,Quantum project 
Qiskit/qiskit-metal,31.0,2.0,Quantum project 
Qiskit/qiskit-terra,45.0,3.0,Quantum project 
Qiskit/qiskit-tutorials,22.0,1.0,Quantum project 
Qottmann/Quantum-anomaly-detection,201.0,2.0,Quantum project 
QuEST-Kit/QuEST,8.0,1.0,Quantum project 
Quantomatic/pyzx,21.5,1.0,Quantum project 
Quantum-Flytrap/quantum-tensors,11.0,1.0,Quantum project 
Quantum-Universal-Education/Quantum-Universal-Education.github.io,2.0,1.0,Quantum project 
QuantumBFS/Yao.jl,12.0,2.0,Quantum project 
QuantumBFS/YaoArrayRegister.jl,12.0,2.0,Quantum project 
QuantumBFS/YaoBlocks.jl,16.5,2.0,Quantum project 
QuantumBFS/YaoCompiler.jl,26.0,2.0,Quantum project 
Qulacs-Osaka/quantum_software_handson,83.0,2.0,Quantum project 
Renmusxd/RustQIP,79.0,3.0,Quantum project 
S4Plus/ABC,5.5,1.0,Quantum project 
Serock3/Master_thesis_QEC_simulation,32.0,1.0,Quantum project 
SoftwareQuTech/SimulaQron,22.0,3.0,Quantum project 
Strilanc/Quirk,24.0,2.0,Quantum project 
SupertechLabs/cirq-superstaq,4.0,1.0,Quantum project 
TRIQS/triqs,10.0,2.0,Quantum project 
Tomev-CTP/BoSS,20.0,2.0,Quantum project 
XanaduAI/strawberryfields,49.0,3.0,Quantum project 
XanaduAI/thewalrus,12.0,1.0,Quantum project 
andrewcpotter/holopy,256.0,4.0,Quantum project 
artificial-brain/quantumcat,15.0,3.0,Quantum project 
aws/amazon-braket-default-simulator-python,53.5,3.5,Quantum project 
aws/amazon-braket-pennylane-plugin-python,11.0,2.0,Quantum project 
aws/amazon-braket-sdk-python,21.0,2.0,Quantum project 
bagmk/Quantum_Machine_Learning_Express,20886.0,13.0,Quantum project 
beratyenilen/qc-ga,15.5,1.5,Quantum project 
boschmitt/tweedledum,8.0,1.0,Quantum project 
