files,language,blank,comment,code,name
63,Jupyter Notebook,0,35813,4873,QuantumKatas
10,C#,190,220,990,QuantumKatas
2,Python,116,72,939,QuantumKatas
36,Visual Studio Solution,35,36,870,QuantumKatas
40,Markdown,348,0,771,QuantumKatas
1,TeX,134,27,753,QuantumKatas
37,MSBuild script,83,0,700,QuantumKatas
7,JSON,0,0,432,QuantumKatas
11,PowerShell,100,95,312,QuantumKatas
1,SVG,1,1,304,QuantumKatas
4,YAML,26,6,138,QuantumKatas
1,Bourne Shell,3,1,9,QuantumKatas
1,XML,2,8,6,QuantumKatas
214,SUM,1038,36279,11097,QuantumKatas
179,YAML,463,183,151100,Quantum
24,JSON,74,0,11937,Quantum
85,Markdown,1142,0,3582,Quantum
50,C#,832,1327,3547,Quantum
23,Jupyter Notebook,0,18743,2322,Quantum
15,Visual Studio Solution,15,15,1359,Quantum
2,C/C++ Header,89,48,689,Quantum
9,PowerShell,169,376,533,Quantum
14,Python,135,189,471,Quantum
42,MSBuild script,87,9,461,Quantum
4,HTML,38,12,389,Quantum
1,TypeScript,46,10,275,Quantum
5,JavaScript,33,44,172,Quantum
2,C++,30,81,123,Quantum
1,CSS,7,4,73,Quantum
1,Bourne Shell,11,22,42,Quantum
5,XML,6,10,42,Quantum
1,F#,7,13,16,Quantum
1,DOS Batch,3,0,15,Quantum
464,SUM,3187,21086,177148,Quantum
1355,Python,48201,80089,164312,qiskit-terra
599,YAML,1447,123,12257,qiskit-terra
104,JSON,0,0,1120,qiskit-terra
43,TeX,86,0,567,qiskit-terra
4,Markdown,165,0,503,qiskit-terra
3,HTML,54,5,382,qiskit-terra
4,Cython,75,176,309,qiskit-terra
38,reStructuredText,52,213,77,qiskit-terra
1,INI,8,0,75,qiskit-terra
2,make,22,33,75,qiskit-terra
3,Jupyter Notebook,0,446,51,qiskit-terra
1,Jinja Template,0,0,25,qiskit-terra
1,CSS,4,0,23,qiskit-terra
1,Bourne Shell,4,12,22,qiskit-terra
1,TOML,1,0,5,qiskit-terra
2160,SUM,50119,81097,179803,qiskit-terra
1025,Python,38870,49879,148776,Cirq
208,JSON,0,0,23753,Cirq
