repository,num_releases
microsoft/QuantumKatas,2
microsoft/Quantum,30
Qiskit/qiskit-terra,30
quantumlib/Cirq,18
data-science-on-aws/oreilly_book,0
Qiskit/qiskit,30
Qiskit/qiskit-tutorials,7
desireevl/awesome-quantum-computing,0
the-akira/Computer-Science-Resources,0
tensorflow/quantum,6
rigetti/pyquil,30
quantumlib/OpenFermion,20
qutip/qutip,13
PennyLaneAI/pennylane,30
qosf/awesome-quantum-software,0
Qiskit/openqasm,2
ProjectQ-Framework/ProjectQ,21
Strilanc/Quirk,16
QuantumBFS/Yao.jl,21
qiskit-community/qiskit-textbook,0
XanaduAI/strawberryfields,24
Qiskit/qiskit-aqua,30
microsoft/qsharp-compiler,0
OriginQ/QPanda-2,12
microsoft/QuantumLibraries,0
quil-lang/quilc,30
softwareQinc/qpp,30
quil-lang/qvm,27
Blueqat/Blueqat,20
dwavesystems/dwave-ocean-sdk,30
m-labs/artiq,21
Qiskit/qiskit-aer,30
PennyLaneAI/qml,0
quantumlib/qsim,30
QuEST-Kit/QuEST,19
CQCL/pytket,0
qulacs/qulacs,16
jcmgray/quimb,2
Qiskit/qiskit-machine-learning,4
Quantomatic/pyzx,6
oxford-quantum-group/discopy,23
quantastica/quantum-circuit,0
quantumlib/ReCirq,1
PIQuIL/QuCumber,19
aws/amazon-braket-sdk-python,30
quantum-ods/qmlcourse,1
Qiskit/qiskit-metal,3
unitaryfund/mitiq,18
usnistgov/jarvis,30
panacloud/bootcamp-2021,0
DavitKhach/quantum-algorithms-tutorials,0
mit-han-lab/torchquantum,0
qiboteam/qibo,16
eclipse/xacc,0
vm6502q/qrack,19
zlatko-minev/pyEPR,7
qosf/qosf.org,0
TRIQS/triqs,8
Hongbo-Miao/hongbomiao.com,0
CQCL/tket,15
SoftwareQuTech/SimulaQron,0
iqusoft/intel-qs,0
softwareQinc/staq,7
Renmusxd/RustQIP,0
vprusso/toqito,2
yogeshhk/TeachingDataScience,0
johanvos/quantumjava,0
CompPhysics/ComputationalPhysics2,0
dwavesystems/dwave-system,30
boschmitt/tweedledum,3
pyGSTio/pyGSTi,28
dwavesystems/dwave-hybrid,22
quantumlib/Stim,10
XanaduAI/thewalrus,22
GTorlai/PastaQ.jl,15
qir-alliance/qcor,0
issp-center-dev/HPhi,24
OpenJij/OpenJij,20
yaleqc/qtcodes,2
QE-Lab/OpenQL,16
dwavesystems/dwave-cloud-client,30
gecrooks/quantumflow-dev,10
nix-community/nur-combined,0
nikolasibalic/ARC-Alkali-Rydberg-Calculator,30
microsoft/qdk-python,0
qucontrol/krotov,5
sfc-aqua/quisp,3
pasqal-io/Pulser,12
q-optimize/c3,4
iqm-finland/KQCircuits,0
Quantum-Flytrap/quantum-tensors,0
qutech/qupulse,7
PennyLaneAI/pennylane-cirq,13
redfx-quantum/strangefx,0
Quantum-Universal-Education/Quantum-Universal-Education.github.io,0
iic-jku/ddsim,9
aws/amazon-braket-default-simulator-python,24
nasa/hybridq,0
vein-lang/vein,1
aws/amazon-braket-pennylane-plugin-python,30
BBN-Q/QGL,5
quantumlib/OpenFermion-FQE,1
QuantumBFS/YaoBlocks.jl,30
Krastanov/QuantumClifford.jl,8
scikit-quant/scikit-quant,0
Interlin-q/Interlin-q,1
jwoehr/qisjob,24
JuliaQuantumControl/QuOptimalControl.jl,0
zapatacomputing/z-quantum-core,11
harshangrjn/QuantumCircuitOpt.jl,22
XanaduAI/MrMustard,2
artificial-brain/quantumcat,2
pedrorrivero/qrand,15
NicklasBoto/funQ,0
QuantumBFS/YaoCompiler.jl,6
CQCL/pytket-extensions,11
Qulacs-Osaka/quantum_software_handson,0
open-quantum-safe/liboqs-cpp,9
unitaryfund/unitaryhack,0
node-red-quantum/node-red-contrib-quantum,5
iic-jku/qcec,18
iic-jku/qmap,8
QuantumBFS/YaoArrayRegister.jl,30
splch/quantum-tales,1
flynnbr11/QMLA,2
QTechTheory/QuESTlink,8
latticesurgery-com/lattice-surgery-compiler,0
Qottmann/Quantum-anomaly-detection,0
SupertechLabs/cirq-superstaq,6
OxfordIonTrapGroup/ndscan,0
mickahell/quantum_lab,10
JQub/qfnn,0
bagmk/Quantum_Machine_Learning_Express,1
fmozafari/angel,0
Krastanov/Quantikz,9
S4Plus/ABC,0
jnorthrup/columnar,0
peterrohde/QuNet,0
qutech/filter_functions,11
mickahell/quantum_pokemon-fight,15
qcc4cp/qcc,0
iic-jku/dd_package,4
mindspore-ai/mindquantum,0
QLemma/qleet,0
myQLM/myqlm-interop,0
theerfan/Q,0
zhinst/zhinst-qcodes,1
quantum-defence/quantum-defence,5
tknrsgym/quara,3
QML-HEP/ae_qml,0
USCqserver/OpenQuantumBase.jl,11
JakuJ/quantum-explorer,0
qiboteam/qibojit,4
qiboteam/qibotf,5
Quantronauts/qhack21,0
rumschuettel/quantum-benchmarks,0
iic-jku/qfr,11
Tomev-CTP/BoSS,0
asqum/PYQUM,0
marekyggdrasil/website,0
HayleySummer/Qiskit_Hackathon_Europe,0
jwei302/Quantum-Counting,0
tmog123/Quantum_Assisted,0
Tovermodus/Tic-Tac-Qu-Learning,0
JordanovSJ/VQE,0
andrewcpotter/holopy,0
TristanB22/AzimuthInternship,0
vtomole/vtomole.github.io,0
Quantum-Computing-Jufo-2019/quantum-computing-jufo-2019.github.io,0
Serock3/Master_thesis_QEC_simulation,0
pablomateo/quantum_computing_learning_stack,0
teaguetomesh/dqva-and-circuit-cutting,0
tbcole/majoranaJJ,0
bernalde/QuIPML,0
beratyenilen/qc-ga,0
