repository,num_commits,num_coontributors,html_url,description,url,created_at,updated_at,pushed_at,size,stargazers_count,language,has_issues,Category
microsoft/QuantumKatas,85,119,https://github.com/microsoft/QuantumKatas,Tutorials and programming exercises for learning Q# and quantum computing,https://api.github.com/repos/microsoft/QuantumKatas,2018-06-06T20:02:33Z,2022-01-04 01:32:13+00:00,2022-01-04T11:14:21Z,30450,3728,Jupyter Notebook,TRUE,Quantum algorithms
microsoft/Quantum,95,55,https://github.com/microsoft/Quantum,Microsoft Quantum Development Kit Samples,https://api.github.com/repos/microsoft/Quantum,2017-11-08T23:24:33Z,2022-01-04 01:05:15+00:00,2022-01-04T11:14:27Z,29681,3464,Jupyter Notebook,TRUE,Quantum programing framework
Qiskit/qiskit-terra,775,317,https://github.com/Qiskit/qiskit-terra,"Qiskit is an open-source SDK for working with quantum computers at the level of extended quantum circuits, operators, and algorithms.",https://api.github.com/repos/Qiskit/qiskit-terra,2017-03-03T17:02:42Z,2022-01-04 11:49:29+00:00,2022-01-04T13:10:49Z,82866,3187,Python,TRUE,Quantum programing framework
quantumlib/Cirq,652,154,https://github.com/quantumlib/Cirq,"A python framework for creating, editing, and invoking Noisy Intermediate Scale Quantum (NISQ) circuits.",https://api.github.com/repos/quantumlib/Cirq,2017-12-14T23:41:49Z,2021-12-31 13:42:31+00:00,2021-12-31T03:40:39Z,26980,3128,Python,TRUE,Quantum programing framework
data-science-on-aws/oreilly_book,715,10,https://github.com/data-science-on-aws/oreilly_book,"AI and Machine Learning with Kubeflow, Amazon EKS, and SageMaker",https://api.github.com/repos/data-science-on-aws/oreilly_book,2020-02-29T19:33:58Z,2022-01-06 16:27:13+00:00,2022-01-03T23:17:01Z,812156,2437,Jupyter Notebook,TRUE,Abandoned projects
Qiskit/qiskit,124,137,https://github.com/Qiskit/qiskit,"Qiskit is an open-source SDK for working with quantum computers at the level of circuits, algorithms, and application modules.",https://api.github.com/repos/Qiskit/qiskit,2018-12-12T22:04:07Z,2022-01-04 13:23:25+00:00,2022-01-04T06:02:51Z,1346065,2358,OpenQASM,TRUE,Quantum programing framework
Qiskit/qiskit-tutorials,129,149,https://github.com/Qiskit/qiskit-tutorials,A collection of Jupyter notebooks showing how to use the Qiskit SDK,https://api.github.com/repos/Qiskit/qiskit-tutorials,2017-08-03T14:55:29Z,2022-01-04 08:50:56+00:00,2021-12-07T12:36:33Z,154683,1790,Jupyter Notebook,TRUE,Quantum algorithms
desireevl/awesome-quantum-computing,40,38,https://github.com/desireevl/awesome-quantum-computing,A curated list of awesome quantum computing learning and developing resources.,https://api.github.com/repos/desireevl/awesome-quantum-computing,2018-01-23T10:07:44Z,2022-01-03 11:57:59+00:00,2021-11-30T00:47:09Z,423,1612,,TRUE,Abandoned projects
the-akira/Computer-Science-Resources,62,16,https://github.com/the-akira/Computer-Science-Resources,A list of resources in different fields of Computer Science (multiple languages) ,https://api.github.com/repos/the-akira/Computer-Science-Resources,2019-02-05T01:17:26Z,2022-01-04 11:53:55+00:00,2021-11-20T02:32:45Z,2301,1611,,TRUE,Abandoned projects
tensorflow/quantum,208,27,https://github.com/tensorflow/quantum,Hybrid Quantum-Classical Machine Learning in TensorFlow,https://api.github.com/repos/tensorflow/quantum,2020-02-06T19:58:35Z,2021-12-29 14:27:47+00:00,2021-12-10T22:43:43Z,25423,1343,Python,TRUE,Quantum Machine learning
rigetti/pyquil,87,78,https://github.com/rigetti/pyquil,A Python library for quantum programming using Quil.,https://api.github.com/repos/rigetti/pyquil,2017-01-09T21:30:22Z,2022-01-02 21:35:56+00:00,2021-12-29T21:20:15Z,71244,1234,Python,TRUE,Quantum programing framework
quantumlib/OpenFermion,31,59,https://github.com/quantumlib/OpenFermion,The electronic structure package for quantum computers.,https://api.github.com/repos/quantumlib/OpenFermion,2017-09-21T22:10:28Z,2021-12-16 22:10:49+00:00,2021-12-10T02:13:09Z,4824,1192,Python,TRUE,Quantum simulators
qutip/qutip,887,110,https://github.com/qutip/qutip,QuTiP: Quantum Toolbox in Python,https://api.github.com/repos/qutip/qutip,2012-10-09T06:20:46Z,2022-01-04 09:38:48+00:00,2022-01-03T20:28:55Z,54772,1130,Python,TRUE,Quantum simulators
PennyLaneAI/pennylane,563,83,https://github.com/PennyLaneAI/pennylane,PennyLane is a cross-platform Python library for differentiable programming of quantum computers.  Train a quantum computer the same way as a neural network.,https://api.github.com/repos/PennyLaneAI/pennylane,2018-04-17T16:45:42Z,2022-01-03 20:41:47+00:00,2022-01-04T11:14:00Z,56704,1122,Python,TRUE,Quantum Machine learning
qosf/awesome-quantum-software,55,52,https://github.com/qosf/awesome-quantum-software,Curated list of open-source quantum software projects.,https://api.github.com/repos/qosf/awesome-quantum-software,2018-04-25T16:35:33Z,2021-12-31 16:30:44+00:00,2021-12-26T19:52:43Z,1518,849,,TRUE,Abandoned projects
Qiskit/openqasm,566,42,https://github.com/Qiskit/openqasm,Quantum assembly language for extended quantum circuits,https://api.github.com/repos/Qiskit/openqasm,2017-03-03T17:03:30Z,2022-01-02 21:36:19+00:00,2021-12-30T18:46:38Z,12324,741,TeX,TRUE,Quantum assembly
ProjectQ-Framework/ProjectQ,28,25,https://github.com/ProjectQ-Framework/ProjectQ,ProjectQ: An open source software framework for quantum computing,https://api.github.com/repos/ProjectQ-Framework/ProjectQ,2016-12-28T09:31:53Z,2022-01-02 21:36:23+00:00,2022-01-04T13:24:22Z,1132,739,Python,TRUE,Quantum programing framework
Strilanc/Quirk,5,7,https://github.com/Strilanc/Quirk,A drag-and-drop quantum circuit simulator that runs in your browser. A toy for exploring and understanding small quantum circuits.,https://api.github.com/repos/Strilanc/Quirk,2014-03-05T23:31:28Z,2022-01-12T10:12:51Z,2021-08-12T21:26:52Z,22105,680,JavaScript,TRUE,Quantum simulators
QuantumBFS/Yao.jl,178,18,https://github.com/QuantumBFS/Yao.jl,"Extensible, Efficient Quantum Algorithm Design for Humans.",https://api.github.com/repos/QuantumBFS/Yao.jl,2018-04-13T13:47:02Z,2022-01-02 21:36:37+00:00,2021-12-22T02:09:17Z,19957,628,Julia,TRUE,Quantum algorithms
qiskit-community/qiskit-textbook,1079,194,https://github.com/qiskit-community/qiskit-textbook,A university quantum algorithms/computation course supplement based on Qiskit,https://api.github.com/repos/qiskit-community/qiskit-textbook,2019-08-07T18:36:49Z,2022-01-04 13:18:45+00:00,2022-01-04T13:08:44Z,161561,618,Jupyter Notebook,TRUE,Quantum algorithms
XanaduAI/strawberryfields,88,38,https://github.com/XanaduAI/strawberryfields,"Strawberry Fields is a full-stack Python library for designing, simulating, and optimizing continuous variable (CV) quantum optical circuits.",https://api.github.com/repos/XanaduAI/strawberryfields,2018-03-26T14:38:39Z,2022-01-02 21:36:45+00:00,2021-12-22T13:53:10Z,20186,594,Python,TRUE,Quantum programing framework
Qiskit/qiskit-aqua,88,85,https://github.com/Qiskit/qiskit-aqua,Quantum Algorithms & Applications (**DEPRECATED** since April 2021 - see readme for more info),https://api.github.com/repos/Qiskit/qiskit-aqua,2018-06-12T20:46:28Z,2022-01-02 21:36:49+00:00,2021-11-26T13:57:45Z,52034,553,Python,TRUE,Quantum algorithms
microsoft/qsharp-compiler,179,35,https://github.com/microsoft/qsharp-compiler,"Q# compiler, command line tool, and Q# language server",https://api.github.com/repos/microsoft/qsharp-compiler,2019-06-07T18:48:01Z,2022-01-09T03:05:49Z,2022-01-14T00:54:52Z,175874,550,C#,TRUE,Quantum programing framework
OriginQ/QPanda-2,75,8,https://github.com/OriginQ/QPanda-2,"QPanda 2 is an open source quantum computing framework developed by  OriginQC that can be used to build, run, and optimize quantum algorithms. ",https://api.github.com/repos/OriginQ/QPanda-2,2018-06-05T08:23:20Z,2021-12-29 02:02:28+00:00,2021-12-22T08:04:47Z,17361,494,C++,TRUE,Quantum programing framework
microsoft/QuantumLibraries,55,46,https://github.com/microsoft/QuantumLibraries,Q# libraries for the Quantum Development Kit,https://api.github.com/repos/microsoft/QuantumLibraries,2018-10-23T18:26:23Z,2022-01-04 01:05:10+00:00,2022-01-04T11:14:22Z,13161,412,Q#,TRUE,Quantum programing framework
quil-lang/quilc,88,24,https://github.com/quil-lang/quilc,The optimizing Quil compiler.,https://api.github.com/repos/quil-lang/quilc,2018-11-20T22:14:40Z,2022-01-02 21:37:15+00:00,2021-12-20T19:00:44Z,3469,365,Common Lisp,TRUE,Quantum compilers
softwareQinc/qpp,254,7,https://github.com/softwareQinc/qpp,A modern C++ quantum computing library,https://api.github.com/repos/softwareQinc/qpp,2014-03-21T20:00:40Z,2022-01-03 16:05:44+00:00,2022-01-02T22:20:08Z,286973,332,C++,TRUE,Quantum programing framework
quil-lang/qvm,14,15,https://github.com/quil-lang/qvm,The high-performance and featureful Quil simulator.,https://api.github.com/repos/quil-lang/qvm,2018-11-20T22:14:22Z,2022-01-02T21:37:33Z,2021-11-24T06:02:10Z,1100,332,Common Lisp,TRUE,Quantum simulators
Blueqat/Blueqat,182,7,https://github.com/Blueqat/Blueqat,Quantum Computer Library for Everyone,https://api.github.com/repos/Blueqat/Blueqat,2018-08-02T00:18:23Z,2022-01-02 21:37:42+00:00,2021-12-02T06:34:36Z,1533,329,Python,TRUE,Quantum programing framework
dwavesystems/dwave-ocean-sdk,294,14,https://github.com/dwavesystems/dwave-ocean-sdk,Installer for D-Wave's Ocean tools,https://api.github.com/repos/dwavesystems/dwave-ocean-sdk,2017-11-21T19:24:37Z,2022-01-02 21:37:50+00:00,2021-12-22T02:02:44Z,12845,297,Python,TRUE,Quantum utility tools
m-labs/artiq,385,44,https://github.com/m-labs/artiq,A leading-edge control system for quantum information experiments,https://api.github.com/repos/m-labs/artiq,2014-05-25T18:09:36Z,2022-01-04 07:33:56+00:00,2021-12-31T05:01:02Z,14415,291,Python,TRUE,Experimental quantum computing
Qiskit/qiskit-aer,196,59,https://github.com/Qiskit/qiskit-aer,Aer is a high performance simulator for quantum circuits that includes noise models,https://api.github.com/repos/Qiskit/qiskit-aer,2018-12-17T19:58:16Z,2022-01-04 00:46:09+00:00,2022-01-04T09:49:36Z,26491,277,C++,TRUE,Quantum simulators
PennyLaneAI/qml,176,41,https://github.com/PennyLaneAI/qml,"Introductions to key concepts in quantum machine learning, as well as tutorials and implementations from cutting-edge QML research.",https://api.github.com/repos/PennyLaneAI/qml,2019-10-09T19:17:54Z,2022-01-04 08:50:54+00:00,2022-01-02T03:12:57Z,88831,272,Python,TRUE,Abandoned projects
