,files,language,blank,comment,code,name
0,14,Python,469,583,3516,qmasm
1,1,Go,53,74,407,qmasm
2,4,Markdown,101,0,360,qmasm
3,1,YAML,5,0,23,qmasm
4,1,Lisp,5,6,12,qmasm
5,21,SUM,633,663,4318,qmasm
0,18,Python,2043,1694,5347,blackbird
1,8,C++,648,316,3251,blackbird
2,11,SVG,0,0,2742,blackbird
3,8,C/C++ Header,474,1279,1728,blackbird
4,4,JavaScript,507,197,1262,blackbird
5,10,HTML,22,17,658,blackbird
6,7,CSS,76,24,635,blackbird
7,17,reStructuredText,422,344,489,blackbird
8,1,ANTLR Grammar,56,20,117,blackbird
9,2,make,23,6,77,blackbird
10,2,Markdown,36,0,66,blackbird
11,2,YAML,13,1,50,blackbird
12,1,JSON,0,0,15,blackbird
13,2,TeX,1,40,9,blackbird
14,93,SUM,4321,3938,16446,blackbird
0,130,Python,4828,7549,12977,pyqgl2
1,10,Jupyter Notebook,0,1756,206,pyqgl2
2,4,Markdown,41,0,187,pyqgl2
3,3,YAML,12,6,42,pyqgl2
4,1,Bourne Shell,1,0,2,pyqgl2
5,148,SUM,4882,9311,13414,pyqgl2
0,154,HTML,19636,145,43455,qubiter
1,12,JavaScript,4132,3935,14951,qubiter
2,71,Python,3455,8379,7872,qubiter
3,18,C++,299,631,3463,qubiter
4,1,SVG,0,0,2671,qubiter
5,9,TeX,248,216,2572,qubiter
6,30,Jupyter Notebook,0,15258,1616,qubiter
7,6,CSS,171,62,655,qubiter
8,24,C/C++ Header,158,171,653,qubiter
9,5,Markdown,108,0,367,qubiter
10,84,reStructuredText,147,411,209,qubiter
11,1,DOS Batch,8,1,26,qubiter
12,1,make,4,7,9,qubiter
13,416,SUM,28366,29216,78519,qubiter
0,13,Julia,257,355,1128,QGL.jl
1,1,JSON,0,0,436,QGL.jl
2,3,YAML,6,9,92,QGL.jl
3,1,Markdown,16,0,43,QGL.jl
4,18,SUM,279,364,1699,QGL.jl
0,344,C#,8214,14807,43908,qsharp-compiler
1,141,F#,6284,4690,26851,qsharp-compiler
2,71,LLVM IR,394,0,4222,qsharp-compiler
3,37,XML,137,108,1607,qsharp-compiler
4,43,MSBuild script,141,63,1436,qsharp-compiler
5,8,TypeScript,134,163,992,qsharp-compiler
6,7,Visual Studio Solution,7,7,744,qsharp-compiler
7,23,Markdown,284,4,678,qsharp-compiler
8,9,PowerShell,112,109,558,qsharp-compiler
9,19,JSON,4,0,436,qsharp-compiler
10,2,ANTLR Grammar,77,23,363,qsharp-compiler
11,6,YAML,28,10,155,qsharp-compiler
12,1,Python,23,34,121,qsharp-compiler
13,2,XAML,11,0,53,qsharp-compiler
14,1,C++,3,7,5,qsharp-compiler
15,714,SUM,15853,20025,82129,qsharp-compiler
0,214,C/C++ Header,19466,42445,108897,OpenQL
1,165,C++,7170,8423,37609,OpenQL
2,31,JSON,441,0,17708,OpenQL
3,4,JavaScript,12,117,11361,OpenQL
4,53,Python,1763,1235,6415,OpenQL
5,27,reStructuredText,1068,649,2591,OpenQL
6,11,SWIG,715,7,2529,OpenQL
7,1,HTML,0,1,1997,OpenQL
8,8,Markdown,282,0,1106,OpenQL
9,8,Bourne Shell,67,21,502,OpenQL
10,9,CMake,56,130,453,OpenQL
11,6,YAML,30,134,408,OpenQL
12,1,XML,5,7,179,OpenQL
13,1,Jupyter Notebook,0,450,112,OpenQL
14,2,make,8,7,19,OpenQL
15,1,INI,1,0,3,OpenQL
16,1,DOS Batch,0,0,2,OpenQL
17,543,SUM,31084,53626,191891,OpenQL
0,7,XML,2,5,153735,pyzx
1,73,Python,2343,2881,12377,pyzx
2,34,Jupyter Notebook,0,106432,4103,pyzx
3,1,SVG,0,0,2671,pyzx
4,6,JavaScript,119,88,746,pyzx
5,6,HTML,52,5,392,pyzx
6,4,Markdown,104,0,311,pyzx
7,6,reStructuredText,190,85,234,pyzx
8,1,Cython,30,186,134,pyzx
9,3,DOS Batch,8,1,33,pyzx
10,1,YAML,4,2,29,pyzx
11,1,INI,11,0,23,pyzx
12,1,make,4,6,10,pyzx
13,1,Bourne Shell,0,0,3,pyzx
14,2,CSS,0,5,2,pyzx
15,147,SUM,2867,109696,174803,pyzx
0,190,Python,8413,5255,43364,QRL
1,1,HTML,974,0,2703,QRL
2,8,Protocol Buffers,392,221,1534,QRL
3,9,Markdown,928,0,872,QRL
4,8,YAML,17,5,628,QRL
5,1,Jupyter Notebook,0,211,187,QRL
6,1,make,31,6,156,QRL
7,8,JSON,0,0,86,QRL
8,3,Bourne Shell,10,12,31,QRL
9,1,CSV,0,0,27,QRL
10,4,reStructuredText,15,40,13,QRL
11,1,INI,0,0,5,QRL
12,235,SUM,10780,5750,49606,QRL
0,32,C++,1447,1458,6283,codecrypt
1,42,C/C++ Header,561,938,1624,codecrypt
2,3,Markdown,74,0,183,codecrypt
3,1,m4,15,8,53,codecrypt
4,1,Bourne Shell,7,1,22,codecrypt
5,1,C,7,0,21,codecrypt
6,1,make,4,0,11,codecrypt
7,81,SUM,2115,2405,8197,codecrypt
0,55,Python,2242,3677,8664,QGL
1,2,Markdown,106,0,348,QGL
2,5,Jupyter Notebook,0,31631,143,QGL
3,3,Bourne Shell,30,13,106,QGL
4,2,YAML,11,2,79,QGL
5,67,SUM,2389,35323,9340,QGL
0,132,Assembly,6392,13773,184092,pqm4
1,176,C,5074,9297,37528,pqm4
2,214,C/C++ Header,3531,4647,10007,pqm4
3,12,Pascal,1297,3663,4756,pqm4
4,2,Markdown,73,0,730,pqm4
5,1,CSV,0,0,424,pqm4
6,8,Python,24,5,301,pqm4
7,4,SWIG,49,476,262,pqm4
8,8,make,54,0,202,pqm4
9,557,SUM,16494,31861,238302,pqm4
0,557,Python,12423,8703,53890,artiq
1,81,Rust,2038,485,15617,artiq
2,25,reStructuredText,991,266,2002,artiq
3,2,TeX,81,4,463,artiq
4,1,JSON,3,0,458,artiq
5,3,SVG,2,2,419,artiq
6,1,Assembly,36,98,279,artiq
7,1,DOS Batch,34,6,223,artiq
8,5,make,56,6,210,artiq
9,15,TOML,36,0,205,artiq
10,1,C,25,12,121,artiq
11,4,Markdown,62,0,113,artiq
12,1,Jupyter Notebook,0,282,88,artiq
13,1,HTML,1,0,13,artiq
14,2,JavaScript,0,1,2,artiq
15,1,Nix,0,0,1,artiq
16,701,SUM,15788,9865,74104,artiq
0,11,CoffeeScript,177,44,1352,quantum-shell
1,3,Markdown,30,0,183,quantum-shell
2,1,LESS,1,5,77,quantum-shell
3,1,JSON,0,0,40,quantum-shell
4,2,CSON,3,9,34,quantum-shell
5,18,SUM,211,58,1686,quantum-shell
0,40,Julia,514,578,2116,QuantumInformation.jl
1,22,Markdown,263,0,1282,QuantumInformation.jl
2,5,YAML,8,3,98,QuantumInformation.jl
3,1,Python,24,0,76,QuantumInformation.jl
4,1,TOML,4,0,29,QuantumInformation.jl
5,69,SUM,813,581,3601,QuantumInformation.jl
0,118,Python,7817,3290,24322,qupulse
1,19,JSON,0,0,20991,qupulse
2,4,SVG,72,4,3138,qupulse
3,80,MATLAB,738,740,2506,qupulse
4,21,Jupyter Notebook,0,26107,979,qupulse
5,1,Windows Resource File,121,0,257,qupulse
6,9,reStructuredText,103,51,238,qupulse
7,3,YAML,11,4,64,qupulse
8,2,Markdown,25,0,59,qupulse
